number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,
268,黑石怪,26,35,1,1,0,,,1,33,99,all,,,,,,,0,195;383,1;20,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(6900);AddNimbus(3450);AddMoney(2070),,,,,0,
269,火岩洞,26,35,0,1,0,,,1,33,99,all,CheckTaskFinished(264),,,,,,0,193,36,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(8280);AddNimbus(4140);AddMoney(2484),,,,,0,
270,火之护甲,26,35,0,1,0,,,1,33,99,all,CheckTaskFinished(269),,,,,,0,0,0,427,20,191;192,427;427,0.5;0.5;,20;20,,0,,0,99,40 ,AddExp(9200);AddNimbus(4600);AddMoney(2760),,,,,0,
271,涅磐,26,35,1,1,0,,,1,33,99,all,CheckTaskFinished(270),,GetItemSpace >= 1,,,,0,190;198,1;1,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(5750);AddNimbus(2875);AddMoney(1725),,,,"em;AddItemEx(97,0,1,1)
fm;AddItemEx(124,0,1,1)
bh;AddItemEx(151,0,1,1)
qc;AddItemEx(595,0,1,1)
xq;AddItemEx(673,0,1,1)",0,
272,污染的桂花林,26,33,0,1,0,,,1,32,99,all,,,,,,,0,188;377;,20;20;,0,0,0,0,0,0,,0,,0,99,40 ,"AddCredit(26,400);AddExp(1760);AddNimbus(293)",,,,,0,
273,替天行道,22,40,0,1,0,,,1,38,99,all,,,,,,,0,306;307;310;311;314;,10;10;10;10;10;,0,0,0,0,0,0,,0,,0,99,50 ,"AddCredit(22,500);AddExp(2550);AddNimbus(425)",,,,,0,
274,野兽诱捕器,26,30,0,0,0,2,,1,30,99,all,,,,,,,0,0,0,4328;4329;4330,15;15;15,377;188;75,4328;4329;4330,0.5;0.5;0.5,15;15;15,,0,,0,99,90 ,AddExp(3690);AddNimbus(615),,,,,,
275,匡扶正义之百人斩,16,27,0,0,0,2,,1,27,99,all,,,,,,,0,246,100,0,0,0,0,0,0,,0,,0,99,100 ,AddExp(3800);AddNimbus(633),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,护送紫铃,22,45,1,0,3,,1,1,45,99,all,,,,,,,0,0,0,0,0,0,0,0,0,2,436,1,0,99,,AddMoney(10000);AddNimbus(10000);AddExp(10000),,,,,0,
400,被感染的动物,11,12,11,0,2,,,1,10,99,all,,,,,,,0,3121;3122;3123;3124;,10;20;1;20,0,0,0,0,0,0,0,0,0,0,99,150 ,AddExp(3450);AddNimbus(2875);AddMoney(1800),,,,,0,
401,清除血精灵,11,18,11,0,2,,,1,15,99,all,,,,,,,0,3125;3126;3127;3128;,20;20;20;1,0,0,0,0,0,0,0,0,0,0,99,180 ,AddExp(5220);AddNimbus(4350);AddMoney(2700),,,,,0,
402,清理水域,11,25,11,0,2,,,1,20,99,all,,,,,,,0,3316;3317;3318;3319;,20;20;20;1,0,0,0,0,0,0,0,0,0,0,99,180 ,AddExp(6480);AddNimbus(5400);AddMoney(3240),,,,,0,
403,百花护法,11,30,11,0,2,,,1,25,99,all,,,,,,,0,3320;3321;3322;3323;,20;20;20;1,0,0,0,0,0,0,0,0,0,0,99,180 ,AddExp(7380);AddNimbus(6150);AddMoney(3780),,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,200面旗子,13,5,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,200,0,0,0,0,,0,,0,99,,"AddMoney(10000);AddCredit(13,300)",,,,,0,
408,300面旗子,13,5,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,300,0,0,0,0,,0,,0,99,,"AddMoney(20000);AddCredit(13,450)",,,,,0,
409,10面旗子,14,5,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,10,0,0,0,0,,0,,0,99,,"AddMoney(300);AddCredit(14,10)",,,,,0,
410,50面旗子,14,5,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,50,0,0,0,0,,0,,0,99,,"AddMoney(2000);AddCredit(14,60)",,,,,0,
411,100面旗子,14,5,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,100,0,0,0,0,,0,,0,99,,"AddMoney(4500);AddCredit(14,140)",,,,,0,
412,200面旗子,14,5,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,200,0,0,0,0,,0,,0,99,,"AddMoney(10000);AddCredit(14,300)",,,,,0,
413,300面旗子,14,5,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,300,0,0,0,0,,0,,0,99,,"AddMoney(20000);AddCredit(14,450)",,,,,0,
414,10面旗子,18,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,10,0,0,0,0,,0,,0,99,,"AddMoney(300);AddCredit(18,10)",,,,,0,
415,50面旗子,18,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,50,0,0,0,0,,0,,0,99,,"AddMoney(2000);AddCredit(18,60)",,,,,0,
416,100面旗子,18,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,100,0,0,0,0,,0,,0,99,,"AddMoney(4500);AddCredit(18,140)",,,,,0,
417,200面旗子,18,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,200,0,0,0,0,,0,,0,99,,"AddMoney(10000);AddCredit(18,300)",,,,,0,
418,300面旗子,18,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,300,0,0,0,0,,0,,0,99,,"AddMoney(20000);AddCredit(18,450)",,,,,0,
419,10面旗子,17,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,10,0,0,0,0,,0,,0,99,,"AddMoney(300);AddCredit(17,10)",,,,,0,
420,50面旗子,17,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,50,0,0,0,0,,0,,0,99,,"AddMoney(2000);AddCredit(17,60)",,,,,0,
421,100面旗子,17,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,100,0,0,0,0,,0,,0,99,,"AddMoney(4500);AddCredit(17,140)",,,,,0,
422,200面旗子,17,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,200,0,0,0,0,,0,,0,99,,"AddMoney(10000);AddCredit(17,300)",,,,,0,
423,300面旗子,17,15,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,300,0,0,0,0,,0,,0,99,,"AddMoney(20000);AddCredit(17,450)",,,,,0,
424,10面旗子,15,20,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,10,0,0,0,0,,0,,0,99,,"AddMoney(300);AddCredit(15,10)",,,,,0,
425,50面旗子,15,20,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,50,0,0,0,0,,0,,0,99,,"AddMoney(2000);AddCredit(15,60)",,,,,0,
426,100面旗子,15,20,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,100,0,0,0,0,,0,,0,99,,"AddMoney(4500);AddCredit(15,140)",,,,,0,
427,200面旗子,15,20,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,200,0,0,0,0,,0,,0,99,,"AddMoney(10000);AddCredit(15,300)",,,,,0,
428,300面旗子,15,20,0,0,0,,,1,3,99,all,,,,,,,0,0,0,3442,300,0,0,0,0,,0,,0,99,,"AddMoney(20000);AddCredit(15,450)",,,,,0,
438,收集邮包,100,1,0,0,20,,,1,1,99,all,,,,,,,0,0,0,3492,1,4508,3492,1,1,,0,,0,99,,AddNimbus(168),,,,,0,
439,儿子的思念,14,18,0,1,,,,1,16,99,all,GetTaskItemSpace >= 1,AddItem(3791),GetItemSpace >= 1,,"RemoveItem(3791,1)","RemoveItem(3791,1)",0,0,0,3791,1,0,0,0,0,,0,,0,99,13 ,AddExp(1885);AddNimbus(942);AddMoney(585),"AddItemEx(1202,1,0,1)",,,,0,
440,圣诞礼物领取TW,15,15,0,1,,,,1,15,99,all,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,"AddItemEx(3741,1,0,1)",,,,1,
441,高级圣诞礼物领取ML,15,30,0,1,,,,1,30,99,all,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,"AddItem (3742,1)",,,,1,
442,圣诞礼物领取ML,15,15,0,1,,,,1,15,99,all,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,"AddItem (3753,1)",,,,1,
443,圣诞礼物领取am,15,10,0,1,,,,1,10,99,all,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,"AddItem (3754,1)",,,,1,
444,装饰圣诞树,15,10,0,0,20,,,1,10,99,all,,,GetItemSpace >= 1,,,,0,0,0,3760;3761;3762;3763;3764,2;2;2;2;2,0,0,0,0,,0,,0,99,,,"AddItem (3751,1)",,,,1,
445,装饰圣诞树ML,15,10,0,0,20,,,1,10,99,all,,,GetItemSpace >= 1,,,,0,0,0,3760;3761;3762;3763;3764,5;5;5;5;5,0,0,0,0,,0,,0,99,,,"AddItem (3765,1)",,,,1,
446,高级圣诞礼物领取TW,15,30,0,1,,,,1,30,99,all,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,"AddItemEx(3767,1,0,1)",,,,1,
447,换取门派道具包(ML),15,1,0,0,,,,0,1,99,all,,,GetItemSpace >= 4,,"RemoveItem(3824,1)","RemoveItem(3824,1)",0,0,0,3824,1,0,0,0,0,,0,,0,99,,,,,,"em;AddItemEx(3800,0,0,0)
em;AddItemEx(3801,0,0,0)
em;AddItemEx(3802,0,0,0)
em;AddItemEx(3803,0,0,0)
fm;AddItemEx(3804,0,0,0)
fm;AddItemEx(3805,0,0,0)
fm;AddItemEx(3806,0,0,0)
fm;AddItemEx(3807,0,0,0)
bh;AddItemEx(3808,0,0,0)
bh;AddItemEx(3809,0,0,0)
bh;AddItemEx(3810,0,0,0)
bh;AddItemEx(3811,0,0,0)
qc;AddItemEx(3812,0,0,0)
qc;AddItemEx(3813,0,0,0)
qc;AddItemEx(3814,0,0,0)
qc;AddItemEx(3815,0,0,0)
xq;AddItemEx(3816,0,0,0)
xq;AddItemEx(3817,0,0,0)
xq;AddItemEx(3818,0,0,0)
xq;AddItemEx(3819,0,0,0)",1,
448,"恭喜发财,红包拿来!",15,10,0,1,,,,0,10,99,all,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,"AddItemEx(3890,0,0,1)",,,,1,
449,"年兽出没,新年出击!",15,1,0,1,,,1,1,1,99,all,,,,,,,,4640,1,0,0,0,0,0,0,,0,,0,99,,AddExp(16888);AddNimbus(16888);AddMoney(10608),,,,,1,
450,新手欢庆新年任务,15,20,0,1,,,,1,20,99,all,,,GetItemSpace >= 1,,,,,32;122;69;38,1;1;1;1,0,0,0,0,0,0,,0,,0,99,,AddExp(2888);AddNimbus(2888),"AddItemEx(3890,0,0,1)",,,,1,
451,高手欢庆新年任务,15,30,0,1,,,,1,30,99,all,,,GetItemSpace >= 1,,,,,197;198;302;309,1;1;1;1,0,0,0,0,0,0,,0,,0,99,,AddExp(5888);AddNimbus(5888),"AddItemEx(3890,0,0,1)",,,,1,
452,高手之高高手欢庆新年任务,15,40,0,1,,,,1,40,99,all,,,GetItemSpace >= 1,,,,,4397;4405;4404;4410,1;1;1;1,0,0,0,0,0,0,,0,,0,99,,AddExp(8888);AddNimbus(8888),"AddItemEx(3891,0,0,1)",,,,1,
453,问候前辈,15,25,0,1,,,,1,25,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,AddExp(9999);AddNimbus(18999);,"AddItemEx(3891,0,0,1)",,,,,
455,蜈蚣之灾(15),14,13,0,0,,2,,1,13,99,all,,,,,,,0,13;14;,20;20,0,0,0,0,0,0,,0,,0,99,40 ,"AddCredit(14,400);AddExp(960);AddNimbus(160)",,,,,,
456,狂蟒之灾(15),14,15,11,0,,3,,1,15,99,all,,,,,,,0,146;147;148;149;154;155;156;158;,6;6;6;6;6;6;1;1,0,0,0,0,0,0,,0,,0,99,80 ,"AddCredit(14,800);AddExp(2080);AddNimbus(347)",,,,,,
457,辟邪隐忧(21),15,20,0,0,,2,,1,20,99,all,,,,,,,0,19;22;28;,20;20;20,0,0,0,0,0,0,,0,,0,99,60 ,"AddCredit(15,600);AddExp(1860);AddNimbus(310)",,,,,,
458,清理西郊邪恶势力(25),16,25,0,0,,2,,1,25,99,all,,,,,,,0,30;27;124;,20;20;20,0,0,0,0,0,0,,0,,0,99,80 ,"AddCredit(16,800);AddExp(2880);AddNimbus(480)",,,,,,
459,清理欢喜恶僧(26),16,27,11,0,,3,,1,27,99,all,,,,,,,0,267;268;269;270;271;260;263;,8;8;8;8;8;1;1;,0,0,0,0,0,0,,0,,0,99,100 ,"AddCredit(16,1000);AddExp(3800);AddNimbus(633)",,,,,,
460,桂花山的秘密(31),26,33,0,0,,2,,1,32,99,all,,,,,,,0,189;379;,30;30;,0,0,0,0,0,0,,0,,0,99,60 ,"AddCredit(26,600);AddExp(2640);AddNimbus(440)",,,,,,
461,沼泽邪灵(35),22,35,0,0,,2,,1,35,99,all,,,,,,,0,301;304;305;,15;15;10,0,0,0,0,0,0,,0,,0,99,40 ,"AddCredit(22,400);AddExp(1840);AddNimbus(307)",,,,,,
462,马熊村的突围(46),31,47,0,0,,2,,1,45,99,all,,,,,,,0,4398;4399;4400;4401;4406;4407;4408;4409;,10;10;10;10;10;10;10;10;,0,0,0,0,0,0,,0,,0,99,60 ,"AddCredit(31,600);AddExp(3480);AddNimbus(580)",,,,,,
463,清理妖人洞府(50),31,50,11,0,,5,,1,50,99,all,,,,,,,0,4461;4462;4465;4468;4470;4497;4498;,10;10;10;10;10;1;1;,0,0,0,0,0,0,,0,,0,99,80 ,"AddCredit(31,800);AddExp(4880);AddNimbus(813)",,,,,,
474,清理红花洞府,26,38,11,0,,4,,1,35,99,all,,,,,,,0,4655;4656;4657;4658;4659;4660;4661;4662;4663;4665,8;8;8;8;8;8;8;8;1;1;,0,0,0,0,0,0,,0,,0,99,100 ,"AddCredit(26,1000);AddExp(4900);AddNimbus(817)",,,,,,
475,藤须妖兽清剿,17,15,11,0,3,,,1,13,99,all,"GuildBuildingLevel(3)>=1
TodayGuildContributeLeft>=100",,,TodayGuildContributeLeft>=100,,,0,398;401;357;351;353;355;94;,8;8;8;1;1;1;1,0,0,0,0,0,0,,0,,0,99,135 ,AddExp(3510);AddNimbus(2925);AddMoney(1755),AddGuildContribute(100),,,,,
476,云灵蛇穴清剿,20,20,11,0,3,,,1,18,99,all," GuildLevel>1
GuildBuildingLevel(3)>=2
TodayGuildContributeLeft>=100",,,TodayGuildContributeLeft>=100,,,0,146;147;148;149;154;155;156;158;,6;6;6;6;6;6;1;1,0,0,0,0,0,0,,0,,0,99,180 ,AddExp(5580);AddNimbus(4650);AddMoney(2880),AddGuildContribute(100),,,,,
477,慈云恶僧清剿,21,25,11,0,3,,,1,23,99,all," GuildLevel>2
GuildBuildingLevel(3)>=3
TodayGuildContributeLeft>=100",,,TodayGuildContributeLeft>=100,,,0,267;268;269;270;260;263;,8;8;8;8;1;1;,0,0,0,0,0,0,,0,,0,99,220 ,AddExp(7920);AddNimbus(6600);AddMoney(3960),AddGuildContribute(100),,,,,
478,欢喜殿清剿,21,30,11,0,3,,,1,28,99,all," GuildLevel>3
GuildBuildingLevel(3)>=4
TodayGuildContributeLeft>=100",,,TodayGuildContributeLeft>=100,,,0,271;276;277;262;264;266;,6;6;6;1;1;1,0,0,0,0,0,0,,0,,0,99,260 ,AddExp(10660);AddNimbus(8883);AddMoney(5460),AddGuildContribute(100),,,,,
479,毒龙孽畜清剿,26,35,11,0,3,,,1,33,99,all," GuildLevel>4
GuildBuildingLevel(3)>=5
TodayGuildContributeLeft>=100",,,TodayGuildContributeLeft>=100,,,0,4655;4656;4657;4658;4659;4660;4661;4662;4663;4665,6;6;6;6;6;6;6;6;1;1;,0,0,0,0,0,0,,0,,0,99,310 ,AddExp(14260);AddNimbus(11883);AddMoney(7130),AddGuildContribute(100),,,,,
480,青螺魔宫清剿,28,40,11,0,3,,,1,38,99,all," GuildLevel>5
GuildBuildingLevel(3)>=6
TodayGuildContributeLeft>=100",,,TodayGuildContributeLeft>=100,,,0,4308;4309;4319;4320;4325;4324;,8;8;8;8;1;1,0,0,0,0,0,0,,0,,0,99,350 ,AddExp(17850);AddNimbus(14875);AddMoney(9100),AddGuildContribute(100),,,,,
481,魔宫深渊清剿,28,45,11,0,3,,,1,43,99,all," GuildLevel>6
GuildBuildingLevel(3)>=7
TodayGuildContributeLeft>=100",,,TodayGuildContributeLeft>=100,,,0,4303;4310;4321;4322;4323;4326;,8;8;8;8;1;1,0,0,0,0,0,0,,0,,0,99,380 ,AddExp(21280);AddNimbus(17733);AddMoney(10640),AddGuildContribute(100),,,,,
482,烈火妖人清剿,29,50,11,0,3,,,1,48,99,all," GuildLevel>7
GuildBuildingLevel(3)>=8
TodayGuildContributeLeft>=100",,,TodayGuildContributeLeft>=100,,,0,4461;4462;4465;4468;4470;4497;4498;,10;10;10;10;10;1;1;,0,0,0,0,0,0,,0,,0,99,450 ,AddExp(27450);AddNimbus(22875);AddMoney(13950),AddGuildContribute(100),,,,,
483,丰富的矿产初级,15,30,0,0,1,,,0,30,99,all,"GuildOfficial>=4
 GuildLevel>=4
GuildBuildingLevel(4)>=1
GetGuildUserDataInt(""day"")!=Day",,GetItemSpace >= 1,"GetGuildUserDataInt(""day"")!=Day","SetGuildUserDataInt(""day"",Day)",,0,0,0,3993,1,0,0,0,0,,0,,0,99,,,"AddItem (4003,1)",,,,,
484,丰富的矿产中级,15,35,0,0,1,,,0,35,99,all,"GuildOfficial>=4
 GuildLevel>=5
GuildBuildingLevel(4)>=2
GetGuildUserDataInt(""day"")!=Day",,GetItemSpace >= 1,"GetGuildUserDataInt(""day"")!=Day","SetGuildUserDataInt(""day"",Day)",,0,0,0,3993,2,0,0,0,0,,0,,0,99,,,"AddItem (4004,1)",,,,,
485,丰富的矿产高级,15,40,0,0,1,,,0,40,99,all,"GuildOfficial>=4
 GuildLevel>=6
GuildBuildingLevel(4)>=3
GetGuildUserDataInt(""day"")!=Day",,GetItemSpace >= 1,"GetGuildUserDataInt(""day"")!=Day","SetGuildUserDataInt(""day"",Day)",,0,0,0,3993,3,0,0,0,0,,0,,0,99,,,"AddItem (4005,1)",,,,,
486,富饶的矿藏初级,15,45,0,0,1,,,0,45,99,all,"GuildOfficial>=4
 GuildLevel>=7
GuildBuildingLevel(4)>=4
GetGuildUserDataInt(""day"")!=Day",,GetItemSpace >= 1,"GetGuildUserDataInt(""day"")!=Day","SetGuildUserDataInt(""day"",Day)",,0,0,0,3993,4,0,0,0,0,,0,,0,99,,,"AddItem (4006,1)",,,,,
487,富饶的矿藏中级,15,50,0,0,1,,,0,50,99,all,"GuildOfficial>=4
 GuildLevel>=8
GuildBuildingLevel(4)>=5
GetGuildUserDataInt(""day"")!=Day",,GetItemSpace >= 1,"GetGuildUserDataInt(""day"")!=Day","SetGuildUserDataInt(""day"",Day)",,0,0,0,3993,5,0,0,0,0,,0,,0,99,,,"AddItem (4007,1)",,,,,
488,富饶的矿藏高级,15,55,0,0,1,,,0,55,99,all,"GuildOfficial>=4
 GuildLevel>=9
GuildBuildingLevel(4)>=6
GetGuildUserDataInt(""day"")!=Day",,GetItemSpace >= 1,"GetGuildUserDataInt(""day"")!=Day","SetGuildUserDataInt(""day"",Day)",,0,0,0,3993,6,0,0,0,0,,0,,0,99,,,"AddItem (4008,1)",,,,,
489,太虚宝藏初级,15,60,0,0,1,,,0,60,99,all,"GuildOfficial>=4
 GuildLevel>=10
GuildBuildingLevel(4)>=7
GetGuildUserDataInt(""day"")!=Day",,GetItemSpace >= 1,"GetGuildUserDataInt(""day"")!=Day","SetGuildUserDataInt(""day"",Day)",,0,0,0,3993,7,0,0,0,0,,0,,0,99,,,"AddItem (4009,1)",,,,,
492,决战七星,30,60,11,1,,3,,1,55,99,all,,,,,,,0,4611;4612;4615;4760;4761;4762;4763;4764;4765;4766;4767;,1;1;1;1;1;1;1;1;1;1;1;,0,0,0,0,0,0,,0,,0,99,250 ,"AddCredit(30,2500);AddExp(17750);AddNimbus(2958)",,,,,,
501,捣乱的短尾猴,12,1,0,1,0,,,1,1,99,em,,,GetItemSpace >= 1,,,,0,3010,10,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(600);AddNimbus(300);AddMoney(180),"AddItem (202,1)",,,,1,
502,修复阵法,12,2,0,1,0,,,1,2,99,em,"CheckTaskFinished(501)
GetTaskItemSpace >= 1",AddItem(3001),,,"RemoveItem(3001,1)","RemoveItem(3001,1)",0,0,0,0,0,0,0,0,0,,0,,3001,1,15 ,AddExp(975);AddNimbus(488);AddMoney(315),,,,,1,
503,不速之客,12,3,0,1,0,,,1,3,99,em,,,GetItemSpace >= 1,,,,0,3011,10,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(700);AddNimbus(350);AddMoney(210),"AddItemEx(258,0,1,1)",,,,1,
504,修复石笋,12,3,0,1,0,,,1,3,99,em,"CheckTaskFinished(503)
GetTaskItemSpace >= 1",AddItem(3002),,,"RemoveItem(3002,1)","RemoveItem(3002,1)",0,0,0,0,0,0,0,0,0,,0,,3002,1,10 ,AddExp(700);AddNimbus(350);AddMoney(210),,,,,1,
505,肉芝内丹,12,4,0,1,0,,,1,4,99,em,,,,,,,0,0,0,3003,7,3012,3003,0.5,7,,0,,0,99,14 ,AddExp(1050);AddNimbus(525);AddMoney(336),,,,,1,
506,千年肉芝,12,4,0,1,0,,,1,4,99,em,CheckTaskFinished(505),,GetItemSpace >= 1,,,,0,0,0,3004,6,3013,3004,0.5,6,,0,,0,99,12 ,AddExp(900);AddNimbus(450);AddMoney(288),"AddItemEx(85,0,1,1)",,,,1,
507,试练,12,5,0,1,0,,,0,5,99,em,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,4,3014,1,0,99,30 ,AddExp(2400);AddNimbus(1200);AddMoney(720),"AddItemEx(64,0,202,1)",,,,1,
508,下山,12,5,0,1,0,,,1,5,99,em,"CheckTaskFinished(507)
GetTaskItemSpace >= 1",AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,10 ,AddExp(800);AddNimbus(400);AddMoney(240),,,,,1,
511,血神印记,15,1,0,0,2,,,1,1,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,AddEffect(2220),,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,醉仙草,23,1,0,1,0,,,1,1,99,qc,,,GetItemSpace >= 1,,,,0,0,0,3409,10,3210,3409,1,10,,0,,0,99,12 ,AddExp(720);AddNimbus(360);AddMoney(216),"AddItem (200,1)",,,,1,
602,野战的末日,23,2,0,1,0,,,1,2,99,qc,CheckTaskFinished(601),,,,,,0,3204;3205;,6;6,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(650);AddNimbus(325);AddMoney(210),,,,,1,
603,不速之客,23,3,0,1,0,,,1,3,99,qc,,,GetItemSpace >= 1,,,,0,3206;3207;,10;5,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1050);AddNimbus(525);AddMoney(315),"AddItemEx(601,0,1,1)",,,,1,
604,变异的石头,23,4,0,1,0,,,1,4,99,qc,CheckTaskFinished(603),,GetItemSpace >= 1,,,,0,3208,20,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(1500);AddNimbus(750);AddMoney(480),"AddItemEx(583,0,1,1)",,,,1,
605,试练,23,5,0,1,0,,,0,5,99,qc,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,4,3209,1,0,99,30 ,AddExp(2400);AddNimbus(1200);AddMoney(720),"AddItemEx(570,0,202,1)",,,,1,
606,下山,23,5,0,1,0,,,1,5,99,qc,"CheckTaskFinished(605)
GetTaskItemSpace >= 1",AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,10 ,AddExp(800);AddNimbus(400);AddMoney(240),,,,,1,
651,清理花圃,19,1,0,1,0,,,1,1,99,bh,,,,,,,0,3310,10,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(600);AddNimbus(300);AddMoney(180),,,,,1,
652,清冽泉水,19,2,0,1,0,,,1,2,99,bh,"GetTaskItemSpace >= 1
CheckTaskFinished(651)","AddItem(3410,1)",GetItemSpace >= 1,,"RemoveItem(3411,1)","RemoveItem(3411,1)",0,0,0,3411,1,0,0,0,0,,0,,0,99,5 ,AddExp(325);AddNimbus(162);AddMoney(105),"AddItem (202,1)",,,,1,
653,金莲花粉,19,2,0,1,0,,,1,2,99,bh,,,,,,,0,0,0,3405,8,3311,3405,1,8,,0,,0,99,10 ,AddExp(650);AddNimbus(325);AddMoney(210),,,,,1,
654,断肠草,19,3,0,1,0,,,1,3,99,bh,,,GetItemSpace >= 1,,,,0,0,0,3406,10,3312,3406,0.5,10,,0,,0,99,15 ,AddExp(1050);AddNimbus(525);AddMoney(315),"AddItemEx(276,0,1,1)",,,,1,
655,晨露,19,4,0,1,0,,,1,4,99,bh,"GetTaskItemSpace >= 1
CheckTaskFinished(654)",,GetItemSpace >= 1,,,,0,0,0,3407,10,3313,3407,0.5,10,,0,,0,99,14 ,AddExp(1050);AddNimbus(525);AddMoney(336),"AddItemEx(139,0,1,1)",,,,1,
656,修炼,19,4,0,1,0,,,1,4,99,bh,"GetTaskItemSpace >= 1
CheckTaskFinished(655)","AddItem(3408,1)",,,"RemoveItem(3408,1)","RemoveItem(3408,1)",0,0,0,3408,1,0,0,0,0,,0,,0,99,6 ,AddExp(450);AddNimbus(225);AddMoney(144),,,,,1,
657,试练,19,5,0,1,0,,,0,5,99,bh,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,4,3314,1,0,99,30 ,AddExp(2400);AddNimbus(1200);AddMoney(720),"AddItemEx(72,0,202,1)",,,,1,
658,下山,19,5,0,1,0,,,1,5,99,bh,"GetTaskItemSpace >= 1
CheckTaskFinished(657)",AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,10 ,AddExp(800);AddNimbus(400);AddMoney(240),,,,,1,
660,储备物资,15,25,0,1,,,,1,23,99,all,,,,,,,0,0,0,4538,10,26,4538,0.5,10,,,,0,99,20 ,AddExp(3600);AddNimbus(1800);AddMoney(1080),,,,,,
661,毛太恶行,15,26,0,1,,,,1,24,99,all,,,,,,,0,0,0,4539,10,5045,4539,1,10,,,,0,99,20 ,AddExp(3700);AddNimbus(1850);AddMoney(1140),,,,,,
662,捉拿逃匪,15,27,0,1,,,,1,25,99,all,,AddItem(4542),,,"RemoveItem(4542,1)","RemoveItem(4542,1)",0,0,0,0,0,0,0,0,0,3,244,1,0,99,20 ,AddExp(3800);AddNimbus(1900);AddMoney(1140),,,,,,
663,撕破伪装,15,28,0,1,,,,1,26,99,all,,,,,,,0,0,0,4540,10,245,4540,0.5,10,,,,0,99,20 ,AddExp(3900);AddNimbus(1950);AddMoney(1200),,,,,,
